,tweet_text,cyberbullying_type,word_count
29205,"is feminazi an actual word with a denot…
@Nasharchy my job means protecting people. even the people i don't agree with/like.
They barely cooked anything on that entrée #MKR
RT @kf: Like, no. If a community fostering jerks prevents users from adopting that community's code, it is very much a technical problem.
It's almost time. :)
@JamesGweenwood shock youre bullying me again.
@LionLionEatEat yeah, someone DMed me a screenshot. meh. let her. i have no idea who she even is.
For more egregious cases for harassment, we definitely need to be able to respond to those appropriately. But most toxicity isn't this.
So, this happened. http://t.co/ZPTRtsYFiV
@Nibelsnarfabarf @srhbutts @GRIMACHU it is really funny all the assumptions they make about how it works - and how much they are wrong.
The lack of self-awareness from @wadhwa right now is staggering and hilarious. #stopwadhwa2015
Hahahaha http://t.co/JRPkJCNVH9
This is going to be a better finale than how I met your mother, one way or another.
Trump and his evil cabal of criminals will be caught and his lying ass will be impeached and it won't b a moment too soon.
@saintneko i love rock band. :P
I dedicate this thread to @SwiftOnSecurity
RT @srhbutts: women at GDC share heartbreaking stories. this is how #gamergate chooses to respond. http://t.co/Q7aBw89VqN
@slainv_fr I try. I still make mistakes. It's hard.
If you think our president needs congressional approval to do what he did... You are an idiot ð
RT @EmpressSudol: @freebsdgirl That's just it though.... it's not even a book, it's the rejected first draft of To Kill A Mockingbird befor…
Ain't gonna lie, think I might try pomegranate in a cous cous salad.. Sounds yum  #MKR
&gt;'feminazi'
@Brittany_Blade @Feminazi_Front well they aren't.  ISIS claims to be Muslim, but they're beliefs are nothing like it.  So I don't (1/2)
@HARPcast @Zajice I don't fucking ever know when anything is going on!
Large spiders.
@conlan_webster it's pretty rad having a non-standard name. although there's getting to be more randi harpers in the world. poor things.
people who take advantage of generosity are the worst never again will I offer up my cheetohs you greedy bastards
I hate a person that assumes shyt like come fucking ask me to clarify I ain't gone lie to you dumbass ðð¾
RT @missclarolyn: You didn't give me a deconstructed lemon tart, but have a 7 anyway, for the item that wasn't on the menu #MKR
So the selena hate accounts think nolan is cyber bullying??? ya tht makes a lot of sense. NOT!!
Titanfall 2 - SALTBALL. GRAPPLE. RONIN. | Music by Iniquity https://t.co/XbLxu9nQjx via @YouTube shits sick dude! @iNiQu1TY
@Charlottesph even though that girl was being a bully, zachs mom was kind of rude to you. she should know better than to say that.
@KatelinReed is a big ole mean bully of a sister 
@DiceTechJobs @Itshella_dom @Maira_Benjamin @jenrpetersen that isn't me.
RT @SQUlDZ: This bitch wanna be a penguin so bad https://t.co/pK6YnmXcBS
I was getting really into reading these blue apron recipes until I realized they don't use the Oxford comma. https://t.co/vnBWqNVinD
@sayyMiaa Lmao naw.. Nobody likes me, but thank you! You're nice too, when you're not trying to bully ppl
@mcmahoniel there's a lot of sarcasm and doublespeak in this group, especially. appropriation of terms. text filters just don't work.
RT @atonal440: @freebsdgirl this comment on this article reminded me of you. Do you stilget DOS mansplainers? http://t.co/phZ5ePVnCx http:/…
Nintendo 3DS http://t.co/HbxvCUvVNk
@mcmahoniel unfortunately, no. text filters are too high-risk.
@Cath_Mayoevans @julesrisk63 u virtual bully making her hit me lol
@tthacker15 @Frazer_Cobb will you two stop bullying me. Thankyou.
.@Wavinator @CHOBITCOIN I love HTs like this...I just spin the gallery on my tablet like the Price Is Right wheel and use whatever comes up.
@Matt_Cooke86 Nutrition is key to closing the .#Aboriginal life expectancy gap http://t.co/IHtNiRJMa9 @croakeyblog http://t.co/ktnqAD0TM3
Check out my guest post on @Zusterschap blog http://t.co/WKgrwsBO0v My response to the #BlameOneNotAll thread!
@darxtorm sigh
Finally a meal without dracko piping up 🙉 #MKR
@PlumsOfDoom he was just unfairly antagonized by that bully Barton that I wanted on our team! Bastad that one! Lol
https://t.co/Lku6rHKV8F
RT @a_man_in_black: @freebsdgirl You might want to take this to whoever your person at Twitter is. https://t.co/QsUdICRIEP
How should I even classify this? Wielding a mob? Indirect bullying? I'm not sure.
Why did Kelly attack Brie? First she attacks from behind, now she attacks unprovoked! She's a bigger bully than the Divas of Destruction!
@leyna76 In this case, evidently, yes.
@stibbons then use that. :P
RT @SlavenOUT: BILIC I FUCKING HATE YOU, WATCH US LOSE TO SWANSEA AND RELEGATION WILL BE IMMINENT
@m_d3mps3y Debts because you're so fucking in the hole because all you and your pathetic ass boyfriend"" do are putâ¦ https://t.co/9gDwpQGcUI",other_cyberbullying,790
24516,"@NICKIMINAJ: #WutKinda
At this rate the MKR final will be in December #MKR
@Ethelmonster @SadSuspenders haha, how true.
@bellathorne143 u never noticed me or my tweets against i being bullied
@RedConversation the only thing that really bugs me is when people misquote. which has happened once, i think.
@ProWLegacy @TennesseeHoney_ can you count its 1-3 idiotð¯
Yo, windows people. Is there any free app (other than puppet) that will allow me to define apps to install on new PCs?
@KylePhilip leave the legend that is @themichaelowen alone #bully
@jeremiahfelt Twitter, email, Evernote, web. Hearthstone.
@br yes. yes please. take my money.
@Monte_Lin twitter's UI bugs out all the time. it wasn't a surprising bug. I'd be willing to bet it's not replicatable.
@solri huh. i didn't realize that. why is it considered heroic though?
@FunkyreFresh @SuperSpacedad as a target of her delusions, yeah, i'm going to say these things about how she behaves towards me.
@QueenOf_Pluto Yea U right lemme stop being a bully lol...
#FF THIS PERSON WAS BULLIED BY JESSICA AND THOSE WHO DON'T LIKE OR TALK TO JESSICA SHOULD FOLLOW THIS TWITTER OK. - @jessicahate
If you send a follow request and I know you, I'll likely approve it. If I don't know you... meh. maybe.
wish someone would give me 20% bloody hell https://t.co/IyzCzGZ8Md
RT @shanley: If ANYONE is defending you at this point, the same techniques are applied to supporters to make sure that stops.
I got some insight into the indie gaming community tonight. Just a peek. It was enlightening.
RT @ImmortalDixon: HOLY FUCK DID THEY JIST THROW MICHONNE!?!?
@kantrn Hm. There's another person I usually chat with. Not Ranjib - ughhhh.
@Aiiane @aquarianfool ie: feeling like we aren't all alone &amp; fighting this with no power. seeing law enforcement &amp; social providers respond
so regal. so elegant. http://t.co/PBlfmztdJj
@Kristinaa_Egger Kat just got what she deserved #whack #mkr
@FatNoobTM u fucking won!!!!!! https://t.co/2K5uxfTAqC
@anildash omg anil i am dying you have slain me
@EricaHuurnandez Makinn fun of me the other day for not having my license. That's called karma you bully!!!!! &lt;3 :*
RT @cage_rusty: #BlameOneNotAll but don't walk home alone, don't get drunk, don't take naked pictures of yourself bc you're asking for trou…
I'm seeing a lot more stories regarding gamers acting horribly when a dev does something they don't like.
We should have some more info posted about OAPI soon. Lots of questions about if we are hiring. Glad to see people so excited!
I have eaten army food from tins that looked better than that. And less like a dick. #mkr
I feel bad that Greyson got bullied in school to.. but good thing is.. he didn't get bullied that much :) ♥
I have no idea how this works but it sounds like wizardry.
@T__Lourdes aww hugss loool u was bullying me not long ago
Kevin hart was stupid as hell  in think like a man 1
@Allehegens Romney or Jeb would be huge mistakes.
@cheeseplus @obfuscurity wsp is... sigh. but i'm just using docker in aws with a grafana image. fuck configuring this crap.
@mastersparkle @genehack ah. yeah. i stuck to fidi. different kind of area.
i hate video games
@2bithacker when are you back out here? We should hang.
RT @XixoHS: If this gets 5k Retweets, I will play Exodia Mage which some idiots won games on rank 15 with in TOC Vienna. 2 Days till deck sâ¦
@Whafe I've had a gutsful of you and others like you. I am tolerant, but I wont tolerate bullying or haranguing.
Oh, darling MRAs. You making jabs at my appearance won't keep me from working to provide tools so others can shut you down. &lt;3
#atlas picking His toy for the night! #game on! #coon #cat #5monthsold #mainecoone #mainecoon_id #cute… http://t.co/9xkRhRAHTs
“@benpobjie: “And so we’ll have whittled 18 down to 14 in just a few short months” #MKR” Knife fight in the car park would've been better!
@JaysonElliot oh! that's walking distance from my apartment. hm. i might head over.
http://t.co/3nr1XjZaW6
@ddlovato YOOOOO THIS SONG IS FUCKING LIT!!!!!! REPEATTTTTT https://t.co/LRFbQuTaiC
@DavidFeild @ThelmaSleaze @the_author_ and why was the statement white women only""",other_cyberbullying,692
30752,"I don't retreat.
yessssssss http://t.co/Td90k9Ik2r
Uh. Why do they not make these for grownups? http://t.co/rHDOkljnDI
Boruto looks lit and he's a badass I like that filthy cunt
Awkward. But it's a good case study on how FYGM is common in 20's, but not insurmountable. People can learn. http://t.co/SUrQwclIoU
@JusLick_Kay Quit Bullying Them
@pinefoxi well, i bought a case of it, sooo.... :P
@Fino76 @SiobhanRooney stop being a bully, fino!
@nscottg branch management and tying commits into a specific ticket == amaze.
Now that person has been doxxed on 8chan. And despite this being the person who posted my &amp; others' home address, suddenly he sees a problem
trust me, lady troll is a fuckin trick. https://t.co/KaTUmo83cB
One of the hardest things about not working on a team out of an office is never letting myself sleep in. Coffee, save me.
@Badassperger @Quinnae_Moon i only pvp. :P
It was difficult. I questioned if it was a good idea until someone in the crowd came forward for a hug &amp; started crying. Then I was crying.
@mslatoya_G @mrguestlist I'm not a bully. I just say what most people won't because they are losers
Can't wait to see who finally wins this competition....in 27 months #mkr
@deathofrats01 yup! probably a mix of some sort. he's from the shelter. :)
@KaelaJael http://t.co/BXygHtfPk6
@mykitchenrules such a shame Lyn and Tony had to leave! They didn't deserve it! #MKR
Hate bitches that you gotta ask 200 questions to get to what you looking for ð­
A lot of twitter mentions.
Say, brehâ¦ these niggas are horribly corny. I feel like youâre insulting my intelligence. These dweebs need help
FreeBSD is in fact a person. Yo, @freebsd, you hear about this? Why are we not besties anymore? http://t.co/ZmofIOEHSQ
@luizpsc no one is perfect. We all make mistakes, and then we have to apologize for them. Celebrities aren't special.
@MarkRubello nope.
Siiiiiiigh http://t.co/6jSQojSuE2
@voiceofrae @TheQuinnspiracy @Spacekatgal AND THIS IS CRAZY
@PeerWorker this is what you just said. you just compared online harassment to mutilated bodies. this is demeaning.
@KemiLiza we need to stop bullying loml @FunmiOgunja loool its not fair!
@caulkthewagon a disaster i didn't know about. ooookay.
@irfan__mumbai @LegalKant @pbhushan1 Mind your language idiot Irfan
@WeTalkDemi what it feels like to be bullied & ridiculed as you were. Demi's become my sole inspiration in life, made me a stronger person.
You can yell about things you don't like without calling out someone directly who you know is trying to do good. End of story.
Don't you fucking DARE!!! #TWDFinale #TheWalkingDead
@jasonbentley not me :) no hat
@Geekboy20X6 i'm headed south and I'm about 40 miles from the border. I'll let you know.
@K4Kendra ...loved Chris till Rihanna got bullied..so Trey is my guy
Another reason McCain needs to GO HOME!!!
Report this sick son of a bitch https://t.co/zwsrguMCdW
@caitbit BLACKMILK IS AMAZING. have you seen them before?
find the problems w/dude's solution, don't publicly call him out, get accused of trying to pick a fight"" when i ask him about it. SHOCKING.",other_cyberbullying,505
44035,"You so black and white trying to live like a nigger... Pahahahaha... Common is dumb as fuck!
it's short for huntsman you dumb ass and he'll ya i am fuck gays and niggers #TrumpTrain#fuckgays
U were the first one to inspire me to dream...dream no matter how foolish those dreams seem to others. Thank u so much for that. Ur work has inspired all of us &amp; will continue to inspire generations to come. RIP Dr. Kalam
I wasn't comparing anything, Saying that a book is being used to opress lgbt people now and black people in the past isn't a comparison It's a statement that they both got oppressed due to the same book , not trying to compare struggles but saying the Bible is the common denom.
@in_JEpan: Fuck @FemaleJawan for almost tripping me in the Hallway, DUMB HO NIGGER BISH. &lt; you sound a little mad. Lmaoooo.
LOL ! this bitch looks dumb as FUCK now that she already agreed to marry this nigger but then find's out he fucked 20 other bitches.
Young black voters aren’t afraid to call by not on his big the past and current stance against anything that helps communities of color Young Black Voters Don’t Want Joe Biden! https://youtu.be/N3IUV-4Y8mc
@PacManCannon @MichelleDBeadle pacman shut the fuck up .if she called u a dumb nigger u would be all up in arms.so chill the fuck out
@babyStephiee yes the fuck you did! all them niggers were like stephanie said to jump yo ass!da fuck! you sound dumb as fuck!
RT @Curvables: Ugly niggas be like http://t.co/XcsLPOdqsh
@iNeedSomePercs @RayJones215 STUPID FUCKING NIGGERS. MACLIN LOST THAT GAME. KAFKA WAS 7 OF 8 U DUMB NIGGER: Maaan Fuck Off my TL u Troll!!!!
i hope the world aint judging niggers based on hip hop.. cause we looking dumb as fuck right about now.
“@_Nekole_ To see a nigga on twitter retweet a white chick saying fuck Obama, dumb ass nigger"" makes me sure ... http://tmi.me/yVkCT",ethnicity,329
1317,"@EurekAlertAAAS: Researchers push to import top anti-bullying program to US schools http://t.co/UPZrMbl
@NomCookiesNom Instead of personal attacks, maybe you can explain why there are more than 100 Islamic terrorist groups.
@_Finessinfool yea imma bring in tomorrow
#mkr I think Colin might not be a fan of the meatballs.
@KatieBatterman yeah, we should talk. I was just about to send an email over to them right before I was told it was retracted.
I'm not a fan of the bears from QLD. 💩 #MKR
@eDRoaCH @orvtech this isn't de-anonymizing. the phone # wouldn't necessarily be stored. no names would be required.
@owlcity hey adam :) I've been to 2 of your concerts &amp; haven't been allowed to meet you. when will I be able to?
Me: The boat or the thing that melts Nazi faces?
Watching a video of the snowman play from primary school! Go Tanners Wood haha #oldschool
@eranubuwah @352_7538 Taking tiny villages while loosing major cities like Tikrit.
Sofro Bulling No Chat u_u
@greenlinerzjm The best Muslims are the ones who ignore most of what is in the Quran and Hadiths. ISIS doesn't ignore any of it.
This kid in my science class got the iPod 4th over the 5th.. That's so stupid
@danaleigh92 pretty sure me and mama will know all the words to #NightTrain by the time we get home👍☺ because we can't listen to Luke 💔👎
@thaumatropia too late, i'm literally blue. no taksies backsies.
.@BenKuchera I CAN PROGRAM IT TO DO MANY THINGS RABDAFGTSERdfwgradggrtybgbawfhghddsfdtgtgbwjdserdfggvssadfrwqVXXSDF https://t.co/fLjADoHL24
@KellyTurner99 @buellerishere ... That's one example of self genocide for the sake of pandering to left wing idiotology.
#10PeopleYouTrulyLove Mom
@MarloThomas: Too many children are dying from #bullying! I hope this new law in New Jersey helps: http://t.co/Rr47y6m""",not_cyberbullying,289
45165,"@hermdiggz: “@tayyoung_: FUCK OBAMA, dumb ass nigger” this bitch &lt;~~This Whore SMH
I don’t think so either but I don’t put anything past these niggas when it comes to Black women
Your a dumb motherfucking nigger! You have a kid? And... — I mean if you're so fucking bad come the fuck off bei... http://ask.fm/a/64c3k8ag
@GYANTUNPLUGGED what he said was disgusting but black ppl are worshiping sheen and he's made nigger comments in the past...
comment 1 - ‘It was one of the most memorable experiences I ever had. worth every penny’ comment 2 - ‘fuck this dumb nigger ape she way too took it &amp; spent it.’ comment - 3 ‘it’s more wrong to really think the first.’
Latinx fams better finally agree ACAB after they get offended abt the Walmart incident. Abuse of power frm a cop should be the highlight, but instead their ingrained racism will only pick up on the detail in which a Black woman refuses to help. Divide n conquer tactics at play
u colored n feel unsafe, I got your back 100%, we can curb stomp racism together n hold hands
Place. While ships of Irish turned back out to sea to float until people died cuz they were considered too dirty to be here. Called white chimpanzees &amp; cartoons of them as monkeys alongside black folk. No dogs no negros no paddies. An ugly
HIHIHI OMG UR REALLY NICE AND UR ONE OF MY FIRST TTS MOOTS AND WE SHOULD TALK AGAIN ILY CASS SPIN OFF @DisneyTVA @DisneyAnimation @disneyplus
Dumb Nigger Fuck On Call Of Duty :(
Fuck #CharlieHebdo Translation:French people are as dumb as niggers."" Is this the crakkka every1 is crying over? pic.twitter.com/INmnFeIq1P",ethnicity,283
33724,"... I don't feel guilty for killing him, I just feel guilty because I enjoyed it. He tormented since I was a child, even let the bullies from my school harass me they almost cut my eyes out... I felt enjoyment once I heard the last vines wrap around his frame, while the blood─ https://twitter.com/iMoonlightDance/status/1288273954902118400
Hell, they were all looking for a fight. They’re nothing more than a bunch of insecure school yard bullies that need the snot knocked out of them.
becausegoodheroesdeservekidneys: thenihtgenga: gauntletspirit: shortace: eruvadhril: bemusedlybespectacled: So, I had the enormous privilege of actually listening to the private recording of a girl who bullied me in high school, as in a...
I heard this kind of threat so many times in school from bullies. I laughed at them back then and I laugh much hard now because of what they’ve become.
So you kept to sweet old people just trying to get home from going home... man you are a school yard bully or what. Pathetic.
My elementary school bullies:
once this girl at my high school got like cyber bullied for tweeting about how she was sad that her bday was 9-11 cuz no one payed as much attention to her bday since it was overshadowed ... but personally I was on her side like she deserves a day just like everyone else
I was never bullied. In high school I got along with every group. Nerds, goths, punks and the cool kids"". I had friends in every group. The nerdy girls were the hottest. And the nerdy goth chicks... they were the most depraved. :) Ahh, memories. Kelly G where you at?!?!",age,276
10922,"don't make rape jokes!!! don't make gay jokes!!! oh but fat jokes are okay they don't cause depression and possible suicide or anything
@RepTedYoho Did you call female member of government, AOC, “fucking bitch”? @HouseAgGOP @HouseForeignGOP @HouseAdmnGOP @HouseForeign @HouseGOP @SpeakerPelosi @AOC
@YourAnonCentral Why is rape always the example used ? Why not say lynching jokes, or drag a gay man behind a truck joke ? Think a little.
Who is worse for FL? @marcorubio who can’t tell the difference between 2 black leaders, @RepTedYoho who calls a female a fucking bitch for no reason, or @GovRonDeSantis for letting Floridians suffer and die because he is too incompetent to lead?
The Miseducation of the American Boy: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://bit.ly/2RhOXD7 via @TheAtlantic @peggyorenstein #boyhoodstudies
I pull gay niccas, straight females and mommas , a bitch who call me ugly a hatin A$$HOE !
@pewdiepie you got kicked out of the partnership? We all tried to tell you nobody likes rape or gay jokes. #Swerve
RT @AxAs23: @BBCSport Not sexist but even women prefer to watch Men's sports over women playing because it's played at a higher level.
And we should be able to tell others not to rape or be sexist without that feeling that you're being judged for being a feminist/gay""",gender,237
15621,"@ufcpride40: : Terry Bean, prominent gay activist and MAJOR Obama and Dem donor indicted for child rape. Surprised? POTUS? What a Joke.
#TWEET !!! RT @Mastos_TM: Same way you don't find the death jokes funny, some people didn't find your Rape, Aids, Gay etc. jokes funny..
if you call women “bitches” or “females”, i’m automatically gonna assume you’re a misogynist idc if you’re a woman either, we don’t do that here.
tea but all I’m sayin is gay jokes or rape jokes (etc) aren’t jokes .........
Okay but these are the exact people who got Vic fired for the exact same thing they’re doing. He made a harmless jellybean joke and got fired because it wasn't acceptable. These people are making rape, incest, and gay jokes, yet it's acceptable? Take a seat, young Skywalker. https://twitter.com/DragonBallBLK/status/1167515746676760579
@Mr_Fanta_Pants: How long until Kat heats up her crack pipe over the BBQ? #MKR think she already has, crazy bitch
I think I would have just liked the OJ stories. All the rape joke/gay superhero shit made me switch the fuck off.
@LeoKikiLady89 I respect your use of Sprinkles Are For Winners.
I just don't understand why being depressed/suicidal is glorified, gay is used as an insult, and rape"" is either a fabrication or a joke",gender,211
29818,"@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""
@eDRoaCH @twitter think about how passwords work. are they stored in plaintext? can the provider easily decrypt them? nope.
I'm living proof that fat people can glam fashion it up. Despite most of those plus size sites having the UGLIEST clothes.
WHAT?! I am a lesbian. It is my JOB to hate (cishet) men. I signed a damn CONTRACT.
@kimskitchensink the place next to little Caesars on San Pablo in emeryville.
i played the video for him and he stopped.
@BasicMountain i have some pretty fantastic wonderwoman stuff. but i prefer marvel, hands down. DC chars seem to emo.
It is great to hear that there's more women getting involved with #FreeBSD. :) The community is fantastic and has always been supportive.
While you can hire a lawyer to help you speak to the police, that's kind of where their - and YOUR - involvement ends. @PendragonTarot
My 13 yr old cousins FB status were depressing. Iasked if she was ok.then if she was being bullied. she wrote back ONLY BY YOU AT THE MOMENT
@RealityForger just change your profile pic/name to a woman, pref w/brightly colored hair. Tweet out gamers are dead"" or ""games are sexist""",other_cyberbullying,206
47037,"@Purely_Ambition: Sooo mad. RT @TracePeterson Fuck Obama that dumb nigger I'm going to Switzerlan yooomaddddddd lmfaoo
Shut the fuck up you dumb nigger. Your in South Milwaukee.
@SmokieeLODNS Yeah! You just a NIGGER. Ignorant! You dumb as fuck as if beating my ass change anything! Like you (cont) http://tl.gd/a72hif
I love everyone who screams about reverse racism. Like I’m not all up for shaming white folk either but y’all ultimately spoon fed bc u white from the jump. U don’t know half the shit colored folks deal with. Pls do not fuckin speak for us minorities
Fuck red &amp; white dumb ugly nigger name Wayne Positive trash soft ass nigga pic.twitter.com/zOY5LMYFjj
Bitch u mad........ I see!!!! RT @tayyoung_: FUCK OBAMA, dumb ass nigger
8.5/10 first of all, i love your profile picture because the sanders side fandom is super cool and all of you are such creative individuals. ur header is glorious, as it is one of my all time fav dan moments. and nice @, i relate
@Dustin___Lee when you find him let me know so I can hunt him #coon
DISGUSTING QUOTE from black racist Prof Henry Gates: We are trying to end what we call the 'one nigger' syndrome."" http://is.gd/1P6hI #TCOT",ethnicity,204
14168,"IT CALLS THE FUNCTION TO THE PROCESS OR IT GE…
Only punk ass low self esteem punks call strong knowledgeable females bitches. As long as she is a good one you wuss that is all that matters.
@LourenzoJeanbs @britneyspears @jamielynnspears This kid bashes gays and jokes about rape. Is this the kind of fan that makes you proud?
RT @JamesAltoft I'm not sexist, but any other driver would just drive not stop every 2 seconds when an open lane is to your left!
Racist jokes rape jokes gay jokes are all PUNCHING DOWN bcuz all r at the expense of the groups with less power
*insert racist joke* Nigga niggas: hahaha it's funny bc it's ironic. *insert joke about homosexuals* gay niggas: oh golly that's a hoot. *insert incest joke* many niggas: what classic jest *insert rape jok- sensitive niggas: :/ shut the fuck up you sicko.
@chsfword Name 3 prominent feminists, please.  No Google.
Annie, the reason why Lloyd hasn't proposed yet is because he is gay. Really gay. #mkr
The weird like the only jokes hes made in the 8 made have all revolved around using the words 'gay' 'rape' 'faggot' and other explatives.""",gender,196
3030,"He embellished the afternoon with moustachioed feints &amp; flicks. By throwing him an England shirt Mercer made a statement about the game
Zoe is rocking the stage. http://t.co/mpXlDSBPBh
ANOTHER home visits round?! i'm literally fucking done #MKR
Today has finally arrived #GKMC
IM FUCKING GOING TO SAN FRANCISCO ON TUESDAY!!!!!!!!!!!!
IM ON THE EDGE... OF GLORY
@nizarnayouf There were no US commandos.
I hate these girls, far out. #mkr
RT @Oh_tobs: Bless I totally forgot about the party favourite Shaz... #MKR
I went old school and changed my other account's name back to @StaceGots which was my original Twitter name back in 08/09.
@GladysMcGee18 +FACE THE DREGS OF HUMANITY, SEE HOW TRULY FOUL THEY ARE AND FIGHT BACK
So FUCK ROBERT A DOUGLASS
Bully beatdown got a girl bully this time.
@UKBrawlers i can't
Feeling so sorry for the girls, they should be safe and Kat and Andre should be going home #MKR
My Patreon is acting weird. Just got a monthly payment (yay!) but when I go to how I get paid"", it says I need to become a creator.",not_cyberbullying,181
