,tweet_text,cyberbullying_type,word_count
25411,"@Sweetie_Niesha: So Im getting bullied via twitter by @TheVicSmith
@hridaybala I don't read breitbart ;)
RT @Spacekatgal: I &lt;3 both of you. The scene in Captain America with the grenade? I'd do that for both of you. &lt;3 @freebsdgirl @thequinnspi…
Grey lion. #norman #mainecoon #maine #coon #kat #cat #pet #grey #lion #lay #window #look #eyes #paw… https://t.co/YgWFyCndDb
@brennalevitin still working on getting my language right. i make mistakes sometimes. &gt;.&gt;
He is not all there. And I guess he keeps forgetting that the dog just went outside and ughhhh I want to sleep.
I'm talking about people that take an active stand to say they want to create solutions for harassment, but do nothing beyond get RTed.
@ItsSeanMcclam lol.. you bully :(
@KellsKells_ I never bully you :) the hated words going about.. X
@Asperger_Mom The one that Zoey is claiming that I am bullying"" her .. where she defames and libels me ... Lisa Jo Rudy's blog yesterday.",other_cyberbullying,159
25939,"If cats looked like frogs we'd realize what nasty, cruel little
http://t.co/ZxbZV39jru: Cat Attacks Pork Rib http://t.co/T6GF93F2sp #attacks #coon #maine #pork
@Brysynner I wrote a tool so people wouldn't have to listen to their hate filled rants.
@almafeta I think women in general have issues talking about money for activism. Lots of articles on this.
http://t.co/ZxbZV39jru: Maine Coon Babys www.#of-loveliness.de http://t.co/hnuMt7cCMK #babys #coon #maine
@alexlifschitz @pravyy_ wow. this is great.
Not looking for FTE outside of my anti-harassment org ;) @sebkha
@zeynep @twitter @delbius omg, is that what happened? i keep hitting the wrong button.
@dreamachineries yup. my other dog's name is leo. :)
@knouase Oh you could be right plus didn't Shelly try to bully her.
""Feminazi is a real timesaver, because someone saying that just freed you from listening to them ever..."" http://t.co/xAxGqLzYNk",other_cyberbullying,135
4846,"@andrea_gcav: @viviaanajim recuerdas como nosotras también eramos victimas del bullying/ jajaja callate marce! Cuando? Nosotras bulleabamos
@SadSuspenders I'm a shark. But you're super cute too!
Sick of the word Sassy!! #mkr
Nap time until lunchtime
RT @infamousKlaus: #Shingal :#HPG/#YBS: .... bomb laden vehicle destroyed today morning / at least 8 #ISIS terrorists killed today  #sinja…
I'm so sick of #MKR and the ridiculous scoring methods. I don't buy it. #MKR
RT @Msloulou77: We have hope but no cooking ability. Well, that's a winning combo. #MKR
If you don't like doing nice things for your female significant other and find it a chore to do once a year, you probably don't love them.
RT @simonefiasco: I'm being attacked by black feminist twitter"" loosely translates to ""I said something terrible &amp; women are explaining wh…",not_cyberbullying,133
44294,"@JasmineLovvee If He Dont Want You Well Fuck Him , He Aint Worth Your Tears , Never Sweat A Dumb Nigger .
@kalee_FromTheL how do you sound I'm like 85 you mad dumb go fuck with a Black nigger broke ass
@BahkariBoy @Tjsotomayor He does care about black people. He just don't give a damn about dumb niggers that will never learn. Fuck em.
How you gonna preach about not twitting for attention when all you tweet about is snow bunnys who gives a fuck you dumb nigger
Company profile NKC COON HUNTING, INCORPORATED - http://t.co/YK1TMdLgTj  #NKC #COON #HUNTING, #INCORPORATED
they’re disgusting, anti black, anti women, anti nigger people
@DeJuan45: “@iBrettAdkins: @DeJuan45 fuck you! JUSTICE FOR GEORGE YOU DUMB NIGGER!” Wow smh!!! So lucky!!!!""ignorant MF!!!!!!!",ethnicity,125
21241,"And yet God was able to meet their needs using radical, everyday generosity.” You may be familiar with the call, but each story is very different. This week we are sharing stories from of some of the full-time Christian Workers we support.
i have and i chose whats best for me but saying all else are idiots is wrong neither did i say about your religion you cant say the same about mine
RT @riwired: And every Muslim is a slave of Allah"" the more religious or ""Islamic"" the more damage and danger there is.@VileIslam  @ORehaf…",religion,96
42078,"FUCK TRAYVON and FUCK YOU! The lil thug nigger acted a fool and got his dumb... dope smoking ass shot up!... http://fb.me/2s0Afuxk1
Some niggers are dumb as fuck in UJ. They go ask a gal for a R2 than they happy. No numbers and they say they have macked. Mxm!
RT @RyanHarris24: If you still call black people niggers or coons, you need to grow the fuck up. You just make yourself look dumb as hell.""",ethnicity,76
42651,"Ayy Marco my dude I remember one of our first interactions it was that video of the anime girl in a store I knew u were gonna be a great fren super funny and shit, I was right. Ur one of my fav people in this shitty app and I wish I weren't a shy mf so I could vc w u all the time",ethnicity,65
11082,still a female unless u a male so if u a male then wat up bruh bt if u not then guess what you a female. Y’all trying to argue at something that y’all are. I’m pretty sure you not a bitch bt I’m just you call yoself a real bitch right or wrong. So u a female even if u think u not,gender,64
34482,"a lot of girls message me &amp; ask me what i do to get my waist so small, so i thought i’d just post it on here for everyone! i actually drink Fit Tea &amp; use It Works every day. No! i’m NOT lying to you bc you bullied &amp; slut shamed me in high school, this is how i do it! i swear!",age,64
34891,And my brother is soper luky to have me bcos he gets bullied at school and my brother age is 15 btw and I'm 11 and i dont get bullied but i rip the bullies guts i took care of them no on mess weth me or my big brother but i qant yo know way am i stronger the my big bro ???,age,64
37624,"when ur friend makes a group chat for a game where u have to team up with people from ur high school bc he wants to Have Fun in Quarantine and u dont want to be an asshole &amp; say No, and the girl that Bullied You but u Also Had a Crush On is DMing you bc u have to Team Up Together",age,64
8474,So I know. That CWs are a fucking joke now but some things should still fucking have them just my take just my onion but I rly wish there was like. At LEAST a csa warning on / / / / / / / / / / / / “dad had girlfriend rape son with autism because he thought boy was gay” article,gender,63
36235,tagged by older friend I bully 5 facts about me 1. I liked a grade school friend so much I started to write my 2's and y's like her. still do 2. I had a pet tarantula when I was bapey 3. hips are my fav body part 4. my first drawing was about a spider 5. legal luke is my #1 waifu,age,63
38461,Then after I recovered I went to this school and it was alright so I made a new friend her name was hayley spelled the same way me and her were in band and pe she was so nice then one day I seen the my bully when to the same school as me her mom pulled me aside and said you bitch,age,63
40223,bruh stolen asf drop a dot n i’ll give u an emoji = luv ur pinned = i love seeing u on the tl = ILYSM = want to be friends with u = i stalked ur acc = i consider u as one of my fave moots = you’re sweet = would do anything for u = first time i see you,ethnicity,63
40884,I agree with u . . i hate it any kind of racism from race to being gay i have a wonderful lady and i hear it from every one and if i hear ppl being racist to colored ppl i back them up cause noone should b like that we should love all ppl no matter the color or gender or anything,ethnicity,63
43979,Happy Birthday to My Fav Greek im So happy i Met u cuz of the First ss Ur one of the Dumbest Ppl ive ever Met but it Makes me Pee my pants . Ur one of the most Genuine and sweet ppl and tbh The world needs more ppl Like u. i Luv u Ex Wife i Miss ur Sock Pics @stargazecayIen,ethnicity,63
45558,stolen from ava drop a dot n i’ll give u an emoji = luv ur pinned = i love seeing u on the tl = ILYSM = want to be friends with u = i stalked ur acc = i consider u as one of my fave moots = you’re sweet = would do anything for u = first time i see you,ethnicity,63
11529,Dumb T- fine We gon call ha ugly so he put his head up nd like 10 mins later dis bitch sees him U- omg tt us that youu Nd I turned nd I didn't know what his ex looked like nd ion care if he has female friends T- hi Casey M- whose this babes U- Casey his ex M- hi.,gender,62
32735,Woke up with a heavy heart yaz I'm thinking about how I got bullied in high school for dating a dark skinned girl they called her all sorts of name people were evil back then I wish I could show you her pic what a beautiful woman but I need her to give me the go ahead to upload – at Bloubergstrand,age,62
34967,So true I used to never have girl friends until now as a mom because girls were so cruel to me in high school I had a few here &amp; there &amp; still speak to a few but I was bullied by those girls so I hung out with guys which only made them more mean so then I stopped giving a,age,62
38424,I can relate to this girl to an extent I was put on probation for telling two white girls at my first high school that I would fuck em up and ofc bc they were white and I wasn’t I had to deal with the police I had evidence of being bullied yet I was the one who got the bullet smh,age,62
38909,"I was bullied badly in high school about a guy I was dating. He was new in town and chose me, the quiet band geek. One girl even teamed up with his ex to stalk me and took pics of us at dances. When we broke up it was even worse. He dumped me for that ex &amp; they gave me hell.",age,62
39407,"I was short and heavier and wore glasses, so I had my fair share of bullies. Most of the time I told them to f off. I talked to pretty much everyone and I parties quite a bit. School was fun for me but I chose to ignore a lot of things and people so I don't know if I was popular.",age,62
39546,"Yes ( Put Down ) during high school I ask a girl out and would say ""NO"" right away Because From 1st - Jr. year of High School I was Bullied and if a girl had a Crush on me They would be Bullied Too . So now I'm just afraid of being said "" No"" when I ask out a girl",age,62
40708,"You is my mf black queen, my mami, my wifey, my baby, my princess. I love you with all my heart and will do anything for you. I will get whoever hurt u in the past bc u deserve the whole world and much more we forever and I just wanna make and keep u happy. I love you so much ma",ethnicity,62
13501,"My girl call me her nigga , I call her my bitch .. I guess it’s where u from &amp; how you come up but if I call a female my bitch some people would assume I’m disrespecting her but in my eyes if I say it I love her genuinely &amp; if she lets me she obviously understands that .",gender,61
33426,If I showed my legs my mom would literally say how big they are and ask why they were so swollen. It got to the point I LIKED being at school bc the bullies at school bullied me less than my parents. My dad once tried to BRIBE me to lose weight. I was 13. I had no idea how to.,age,61
34438,it got so bad to the point that i wouldn’t even go to regular high school and i ended up going to school at moa and i hated it and i tried to kms bc no matter what i did i was still being bullied still trying to make amends w the girls who were bullying me bc i was desperate,age,61
34662,Hey twitter armys whoever is good at hacking can you do it for me so I have this girl in my class who is an army too but she bullies me for liking bts and she stole my first ever group friend and now I am all alone but this was in a new school my old school I had friends,age,61
34704,"Just ran into this girl that was with me in high school and I asked her why she bullied me back then and she said ""I had a crush on you but I didn't know how to express myself"" lol bruh I looked like a nerd in high school, why would anyone have a crush on a ugly ass nerd .",age,61
34844,"The same person who sexually assaulted me in high school is one of my bosses. We got into an argument and he told a higher up. I told the head boss that this person used to bully me and I was told that he is still my boss, that I need to respect him, and that it was 20 yrs ago.",age,61
35024,"A lot of you guys were bullies in high school but don’t want to admit it. Yea you can be nice to a lot of people but if you ever joined in with your friends to make fun of the one kid who was a little different, that’s just rude. Or if you talked to them as if they not competent.",age,61
35028,My best friend in 5th grd was mix. Then we got to Jr high and a large group of black girls bullied her to stop talking to me. It hurt my feeling so bad. She would look down if I spoke to her and they would treat her awful. So I just stopped bc I couldn't stand to see it. Sad.,age,61
35121,"It happened to me in high school I was friends with a girl I liked but I was not ready for what she wanted, she force her self into me I push back and told her I wasn't ready next day in school she told everyone, I was bullied and people thought I was gay this was in the late 90s",age,61
35408,i got a girl pregnant in high school so i told my parents i was getting bullied &amp; we movedi got a girl pregnant in high school so i told my parents i was getting bullied &amp; we movedi got a girl pregnant in high school so i told my parents i was getting bullied &amp; we movedi got a g,age,61
36845,"I did talk to this one kid on the way home sometimes but when I was at that school I can't remember talking at all I was very shy and passive let people talk down to me and be mean to me, that's why I cried so hard in the bathroom and let the girls bully me and make me lose",age,61
37742,"My Lad was bullied at school by a Bully who was a Girl, I told the teachers and her parents that if she did it again, he had my full support if he choose to hit back. I said to him if she hits you, let her it once, then Slap her, walk away. You have to stand up to Bullies.",age,61
38057,"I know if the people I went to high school with found out I‘m bi the dumb ass girls that bullied people I knew and me, would DEFS be like ‘wow did u ever have a crush on me’ no bitch I did the fuck NOT. You were ugly then and you’re ugly now cause mean doesn’t have a glow up.",age,61
38220,Oh yeah I agree I bullied myself for about 20 years before I got out of it because of how much I was bullied in school it took me a long time to find the truth about who I was and to see that I was okay after all. I wasn't the problem it was the bullies who were the problem,age,61
38456,i also got bullied when I was 4-6 but that was jst because i was a tomboy and five yr old girls are mean. i got a rock thrown at me and at my house several times (once got hit directly in the eye) and was made to eat dirt another time lmao. jokes on them they peaked in high skl,age,61
38979,"There was one guy in high school who bullied me and told me if his kids were gay he'd throw them over a bridge and now he's dating a girl that I used to be really cool with n I wanna ask her if they had a gay kid if he would still kill it, like asking the real REAL questions",age,61
40946,"SWEAR ur icon gives an impact to ur tweets, when i was first on anitwit my HQ tweets were banger bc i had sakusa icon, switched it to kaidou the saiki k ppl were liking n rt my shit like now w yuji,the jjk ppl eating up my shit BUT if i tweet abt saiki now no one notices me :/",ethnicity,61
41604,just heard a white girl say nigger then say “i hate that word and i dont like to say. in hs i would tell the black kids to stop bc i made me uncomfortable” and her friend was like “i dont think YOU can say it anyway” and im here like BITCH IF YOU DUMB FUCKS DONT SHIT THE HELL UP,ethnicity,61
41846,@vvllnll EMS !!u were one of the first added to the list of ems i love on this stupid fucking app and ur so sweet and the gc on which we met is superior ur lovely babe and i love talking to u on the gc if u evr wanna dm feel free babe i wanna get to kno u more,ethnicity,61
42282,"jo i feel like u were one of my first moots?? remember seeing u in the we must be proud zine and feelign so proud like omg,,thats my moot !!! i Love seeing u pop up in my notifs or on the tl !! ur one of those Familiar faces that makes my heart rly warm !! absolutely adore u !!",ethnicity,61
42766,"Is like the calendar they're using in America is different from the one we're using in Nigeria here, cuz i no know why Davido dey do us like this ooo at least drop fem or call me mk we dey vibe dah one first or nah till we come sit down for ur hus in 9ja until u come back abi",ethnicity,61
44394,One more thing OK sit down close ur mouth n listen to me people all this b l matters is BS first of all ur not the only people in this world OK n ur not the only color no matter what ur polticial thing is ur not the ultimate Jesus n God u can't tell me ur over anyone else,ethnicity,61
46409,"So mandem walk up on him like ""wah? who saying nigger to who called u a Nigger? you fucking dumb i will fuck u up in this bitch"" *coughs up flem Some random lady starts to hold me.. the fear of God I seen in his eyes when i started to wild out Her: See what u done U racist bih",ethnicity,61
46764,"hi queen! first of all im rlly happy to be moots w u! seeing ur posts on my tl, esp the aesthetic themed threads, is one of my source of life ajjsgdhs. i hope we could interact more! anddd tbh i see u as a big sister here on twt . also, gl on ur exams! i’ll be praying for ya",ethnicity,61
14238,A lot of the same people who act so angry at THAT tiktok trend are the one's who're so quick to pass a link or ask for one of a scandal or laugh at rape jokes or use gay as an insult Pa as if kay nga ni care kunuhay nya to obvious diay kayung kailangan e check ilang morals,gender,60
17576,Last time i spoke to that IDIOT SHEM BOOTH SPAIN he kept askin me if I was a muslim. Nobody has every done that before. I was eating a bacon snadwich at the time. I wish I was in the same room as him when he kept askin me.... ill catch up with him dont you worry. &amp; you bitchess.,religion,60
23551,"If you Go against tsmy . Whats wrong with his decision to join UMNO , PH will not win next PRU , why? Because of ramasamy , kullasegaran and santiago . So what u did as A PM. At the time this idiot were talking about Muslims ? U were silent, u dont have the power that u had ....",religion,60
32771,"I had a bully in elementary school I remember he was a lot bigger and pushed me in the sand a few times. So i said fck it and just threw sand in his eyes, he cried. It might have been cheap, but it got the job done. He didn’t bully me again. Lmao idk why I brought this up",age,60
32845,So in high school I got bullied a lot by this one girl who always tried to say that I was easy and a whore (even tho i hadn’t even had sex yet but besides the point) anyways I always remember this one time she tried to be funny by asking me why I was standing a certain way and,age,60
32934,Ok so I’m the 2nd grade I went to a very diverse school so the was a girl and I use to bully her to the point where she didn’t want to go to school no more my dad beat me so bad with a stick and recently I seen her and I felt so bad for doing that .,age,60
33477,my best mate said to me once that I look & sound like the girls who bullied her in high school &amp; whilst it was a flippant comment that kind of stuck with me so I'm semi aware of it when I speak to some women esp ones who don't know me; there's times a stranger can't 'read' you &amp;-,age,60
34179,"when girls from high school still think I am phased by them yeah, u bullied me for years, but I can assure u, u don’t cross my mind bc I fought hard as hell to make sure I ain’t got that kinda toxicity in my life. I have the best friends &amp; family, no room for u in my thoughts.",age,60
34268,I lost my front teeth when I was around 6 ke bala 2 this girl would put her finger in my mouth and say ke mo lome ka lisene bc it tickles her if I didn't she'd beat me. We went to the same high school and I bullied her for 5 years straight because of that. Not proud tho,age,60
34389,Cute how one of my foster families gave me shit when I came out in high school and bullied me for falling in love with a girl to then force us to break up when sending me away without allowing me to say goodbye to her. Even to this day I still think about it and get even more mad,age,60
36066,"Jade is one that sticks out to me A LOT. I had this girl in high school who bullied me relentlessly every single day for 5 years .. swear down, no joke. I have never met a redeemable “jade” yet, every one I’ve met has been a bit of a b*tch so I think it just comes with the name",age,60
36795,I was a dumb kid in middle school. I let the bullies pick on me. I had made 3 friends. 2 pretty rich and 1 dirt poor like me. We were a brand of brothers. They protected me. The 2 rich ones are still my friend. The poor one. I visited him today where he sleeps. Miss you my friend,age,60
37827,"Hey Luca, it doesnt seem like it now but in years to come you will look back and see how insecure bullies actually are. I was bullied after my dad died when I was 12 and it made me very unhappy. I hope you can find a school/ class with a nicer set of kids. Dallas sends a hug xx",age,60
38765,Man spank your kids... please teach them a lesson early cause if your kid come out bad and try to bully mine he’s gonna sleep that boy and I don’t want to have to come to school and take time out of my day because my kid had to teach your kid a lesson that you failed to teach him,age,60
39693,"I Luca I know how you feel. At my last school sports age 15, I was told I would be beaten up if I didnt let the bullies, beat me in 400m final. I ran the race of my life, ran them into the ground. I broke the school record and mine stood for 23 years. Be strong and win.",age,60
40528,Story time @starry_jjk1 : send me a voice note I wanna hear Ur voice Me: ok Her: i'll send one in return Me: ok *I sent one* Her: WAIT BITCH LEMME HEAR me: ok? Her: sending me a voice note and the first time I hear her voice this is what she said BITCH YOUR VOICE IS SO DEEP WTF,ethnicity,60
40743,OK ILL TRY MY BEST SBSN well since i said i can do the butterfly stroke its one wjere its rlly hard at first basically its like 3/4 things all at once when u start u do the first move n its like u pounce like a tiger put ur arms at ur sides and then do a couple of(1/?),ethnicity,60
41035,When come to your stream and call you a nigger and then say jk nah bro you weren't joking you took the time out of your day to come in my chat and type it so don't say jk y'all dumb as fuck it don't hurt me bro it aint the first time and it wont be the last #message,ethnicity,60
42294,@CADENYX — first impression: u seem nice — a nickname I'd give you: idk — emoji that fits you: im sorry i cant think of one — do I like you: yeah — you’re my: mutual — to be honest: we’ve never interacted before but i’ve seen u on my tl ur cool — have I ever disliked you: nope,ethnicity,60
43878,"Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha You spend almost all of your time watching TV, rage tweeting and golfing (over one entire year of golf so far in first and only term) that you have plenty of time. Ur just scared of looking like the idiot you are",ethnicity,60
46391,"It’s crazy when uu stop doing ur shii for one only person . But they person never take you serious! It’s like if I don’t text first , they won’t text me .. If u sad they jus will say what’s wrong :( but i know when people care or no . onmm but dis typee hurt so much !",ethnicity,60
46500,Mys first month of life i got to the point where i was so scared to fall asleep like SCARED. One night i cried so hard bc i honestly did not think i would make it another night. Omg what a TIME. So yeah don’t let anybody tell u to not let ur baby sleep in the bed w you,ethnicity,60
47241,These dumb ass niggers get on molly and think they MICHAEL JACKSON BAD NIGGA HIT ME IF YOU BAD MY NIGGA WALTER TOLD ME THAT ONE NIGHT ON THE BLOCK AND U STOLE ON THAT NIGGA CAUSE I WAS BAD AF BEHIND MY SHIT SO IF LIL D WAS TRAPPING LIKE THAT I KNOW I GOTTA TRAP HARDER FUCK FEDS,ethnicity,60
47573,I know this white Latina that found out her grandpa was listed as negro in a PR census (which doesn’t matter cuz lots of times it was used as “other”) &amp; the 1st thing she asks me is if she can use the n word. Im like y if ur never called that? &amp; yes she proceeded to use it.,ethnicity,60
8334,Do you the definition of a woman. It means an a adult woman. So you calling a 15 year old little girl is beyond me and I’m talking about the dude as well how are u gonna put words into this man mouth and tell him what’s he meant to call y’all was a bitch bc he used female...,gender,59
9452,"and just like black people are allowed to say the n word , and how gays are allowed to decide if the f word if offensive to them , rape survivors are allowed to decide if the jokes are funny are not and it’s not a one size fits all category , just because one person says it’s ok",gender,59
9576,"cw // racism, rape, homophobia . . . . . . . . i looked up stuff to prove that magical girl site is sexist if anyone tried to argue with me right NOT ONLY IS IT SEXIST, but it uses racist caricatures and homophobic stereotypes in it by making the only black char gay and a rapist. pic.twitter.com/W0lZe8bcyX",gender,59
14273,"Not even- flip it. I got on an elevator with a gay man, thought he was going to try to rape me when he asked what floor I wanted. Does this make me a homophobe? Got on an elevator with a black person - thought he would beat me up- now I’m a racist? What shes saying is sexist",gender,59
14928,"I don't remember any rape jokes from when I was a boy, mostly we just told a lot of fart jokes. And boys only think having a girlfriend is gay until they reach puberty &amp; find they like girls &amp; sex. And boys who cry are called sissy by both boys &amp; girls, so they learn not to cry.",gender,59
16127,Thanks you so much to make me idiot why because of I am Muslim and I was surely known that you will ask for this thank you so much for giving me chance to explain you I have lost of proof but one of the most important proof sharing you you I hope you will get proper details and..,religion,59
16176,"You mean they can go to a country + get free money for life, council house, NHS etc. U r the wa**er. Fit u better to have sympathy for victims in UK of Islamic terrorism, mass rapes etc. If ur family was hacked with a machete Lefty, u wouldnt b as soft as shite + thick as u r!",religion,59
17390,"Muslims only kneel to one person &amp; I admire them for doing so ,they laugh at the idiots that kneel , my passenger a Muslim tells me the (in his words ) the blacks are not Gods even if you whites think that way as a Muslim I kneel only to Mohammed ( I’m going to be a Muslim)",religion,59
21262,"You have idiots over there in the UK as well I see. I hope they use the brains Allah has blessed them with and stay at home! It won't have the same feeling, I know, but we can still pray at home. It is our duty as Muslims to look out for the well being of others as well.",religion,59
22935,I am At 4 right now. I have a hard time holding my tongue and as a Christian woman I need to pray more. I've had Times when I get very angry Because I sit here in my home and can't really do much. My family thinks I'm losing my mind And I find myself not saying anything anymore.,religion,59
23314,"I want to put Grasta on the table for a moon! It means grace in Gaelic. I am an Irish American Christian woman. I have the word tattooed on my right foot. I was a ballerina and my left is injured so my right is all the grace left. I also named my dog, who passed last year, Gracie",religion,59
32003,"My hair, that i was “stuck up” because I was insecure and shy and quiet so it came across I guess that I was a bitch. I was bullied by a few different girls throughout middle school &amp; high school &amp; was told to just go in the bathroom &amp; cut deeper next time &amp; no one liked me.",age,59
32434,My dream is for one of the girls who bullied me in jr high to follow me because they don’t know it’s me and then I’ll tweet “one of you is a girl who bullied me in jr high and don’t know it’s me. I’m funny now huh?” And then all the mean girls will sweat thinking it’s them.,age,59
